id,Name,Height(m),Weight{kg},HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Type_1,Type_2,Is_Legendary,Is_Mythical,Egg_Group_1,Egg_Group_2,Generation,Capture_Rate,Base_Happiness,Is_Baby,Egg_Cycles,Past_Type,Is_Pseudo_Legendary,Total_Stats
32,Nidoran-m,0.5,9.0,46,57,40,40,40,50,Poison,,False,False,Monster,Ground,Gen-1,235,70,False,20,,False,273
33,Nidorino,0.9,19.5,61,72,57,55,55,65,Poison,,False,False,Monster,Ground,Gen-1,120,70,False,20,,False,365
34,Nidoking,1.4,62.0,81,102,77,85,75,85,Poison,Ground,False,False,Monster,Ground,Gen-1,45,70,False,20,,False,505
35,Clefairy,0.6,7.5,70,45,48,60,65,35,Fairy,,False,False,Fairy,,Gen-1,150,140,False,10,Normal,False,323
36,Clefable,1.3,40.0,95,70,73,95,90,60,Fairy,,False,False,Fairy,,Gen-1,25,140,False,10,Normal,False,483
37,Vulpix,0.6,9.9,38,41,40,50,65,65,Fire,,False,False,Ground,,Gen-1,190,70,False,20,,False,299
38,Ninetales,1.1,19.9,73,76,75,81,100,100,Fire,,False,False,Ground,,Gen-1,75,70,False,20,,False,505
39,Jigglypuff,0.5,5.5,115,45,20,45,25,20,Normal,Fairy,False,False,Fairy,,Gen-1,170,70,False,10,Normal,False,270
40,Wigglytuff,1.0,12.0,140,70,45,85,50,45,Normal,Fairy,False,False,Fairy,,Gen-1,50,70,False,10,Normal,False,435
41,Zubat,0.8,7.5,40,45,35,30,40,55,Poison,Flying,False,False,Flying,,Gen-1,255,70,False,15,,False,245
42,Golbat,1.6,55.0,75,80,70,65,75,90,Poison,Flying,False,False,Flying,,Gen-1,90,70,False,15,,False,455
43,Oddish,0.5,5.4,45,50,55,75,65,30,Grass,Poison,False,False,Plant,,Gen-1,255,70,False,20,,False,320
44,Gloom,0.8,8.6,60,65,70,85,75,40,Grass,Poison,False,False,Plant,,Gen-1,120,70,False,20,,False,395
45,Vileplume,1.2,18.6,75,80,85,110,90,50,Grass,Poison,False,False,Plant,,Gen-1,45,70,False,20,,False,490
46,Paras,0.3,5.4,35,70,55,45,55,25,Bug,Grass,False,False,Bug,Plant,Gen-1,190,70,False,20,,False,285
47,Parasect,1.0,29.5,60,95,80,60,80,30,Bug,Grass,False,False,Bug,Plant,Gen-1,75,70,False,20,,False,405
48,Venonat,1.0,30.0,60,55,50,40,55,45,Bug,Poison,False,False,Bug,,Gen-1,190,70,False,20,,False,305
49,Venomoth,1.5,12.5,70,65,60,90,75,90,Bug,Poison,False,False,Bug,,Gen-1,75,70,False,20,,False,450
50,Diglett,0.2,0.8,10,55,25,35,45,95,Ground,,False,False,Ground,,Gen-1,255,70,False,20,,False,265
51,Dugtrio,0.7,33.3,35,100,50,50,70,120,Ground,,False,False,Ground,,Gen-1,50,70,False,20,,False,425
52,Meowth,0.4,4.2,40,45,35,40,40,90,Normal,,False,False,Ground,,Gen-1,255,70,False,20,,False,290
53,Persian,1.0,32.0,65,70,60,65,65,115,Normal,,False,False,Ground,,Gen-1,90,70,False,20,,False,440
54,Psyduck,0.8,19.6,50,52,48,65,50,55,Water,,False,False,Water1,Ground,Gen-1,190,70,False,20,,False,320
55,Golduck,1.7,76.6,80,82,78,95,80,85,Water,,False,False,Water1,Ground,Gen-1,75,70,False,20,,False,500
56,Mankey,0.5,28.0,40,80,35,35,45,70,Fighting,,False,False,Ground,,Gen-1,190,70,False,20,,False,305
57,Primeape,1.0,32.0,65,105,60,60,70,95,Fighting,,False,False,Ground,,Gen-1,75,70,False,20,,False,455
58,Growlithe,0.7,19.0,55,70,45,70,50,60,Fire,,False,False,Ground,,Gen-1,190,70,False,20,,False,350
59,Arcanine,1.9,155.0,90,110,80,100,80,95,Fire,,False,False,Ground,,Gen-1,75,70,False,20,,False,555
60,Poliwag,0.6,12.4,40,50,40,40,40,90,Water,,False,False,Water1,,Gen-1,255,70,False,20,,False,300
61,Poliwhirl,1.0,20.0,65,65,65,50,50,90,Water,,False,False,Water1,,Gen-1,120,70,False,20,,False,385
62,Poliwrath,1.3,54.0,90,95,95,70,90,70,Water,Fighting,False,False,Water1,,Gen-1,45,70,False,20,,False,510
63,Abra,0.9,19.5,25,20,15,105,55,90,Psychic,,False,False,Humanshape,,Gen-1,200,70,False,20,,False,310
64,Kadabra,1.3,56.5,40,35,30,120,70,105,Psychic,,False,False,Humanshape,,Gen-1,100,70,False,20,,False,400
65,Alakazam,1.5,48.0,55,50,45,135,95,120,Psychic,,False,False,Humanshape,,Gen-1,50,70,False,20,,False,500
66,Machop,0.8,19.5,70,80,50,35,35,35,Fighting,,False,False,Humanshape,,Gen-1,180,70,False,20,,False,305
67,Machoke,1.5,70.5,80,100,70,50,60,45,Fighting,,False,False,Humanshape,,Gen-1,90,70,False,20,,False,405
68,Machamp,1.6,130.0,90,130,80,65,85,55,Fighting,,False,False,Humanshape,,Gen-1,45,70,False,20,,False,505
69,Bellsprout,0.7,4.0,50,75,35,70,30,40,Grass,Poison,False,False,Plant,,Gen-1,255,70,False,20,,False,300
70,Weepinbell,1.0,6.4,65,90,50,85,45,55,Grass,Poison,False,False,Plant,,Gen-1,120,70,False,20,,False,390
71,Victreebel,1.7,15.5,80,105,65,100,70,70,Grass,Poison,False,False,Plant,,Gen-1,45,70,False,20,,False,490
72,Tentacool,0.9,45.5,40,40,35,50,100,70,Water,Poison,False,False,Water3,,Gen-1,190,70,False,20,,False,335
73,Tentacruel,1.6,55.0,80,70,65,80,120,100,Water,Poison,False,False,Water3,,Gen-1,60,70,False,20,,False,515
74,Geodude,0.4,20.0,40,80,100,30,30,20,Rock,Ground,False,False,Mineral,,Gen-1,255,70,False,15,,False,300
75,Graveler,1.0,105.0,55,95,115,45,45,35,Rock,Ground,False,False,Mineral,,Gen-1,120,70,False,15,,False,390
76,Golem,1.4,300.0,80,120,130,55,65,45,Rock,Ground,False,False,Mineral,,Gen-1,45,70,False,15,,False,495
77,Ponyta,1.0,30.0,50,85,55,65,65,90,Fire,,False,False,Ground,,Gen-1,190,70,False,20,,False,410
78,Rapidash,1.7,95.0,65,100,70,80,80,105,Fire,,False,False,Ground,,Gen-1,60,70,False,20,,False,500
79,Slowpoke,1.2,36.0,90,65,65,40,40,15,Water,Psychic,False,False,Monster,Water1,Gen-1,190,70,False,20,,False,315
80,Slowbro,1.6,78.5,95,75,110,100,80,30,Water,Psychic,False,False,Monster,Water1,Gen-1,75,70,False,20,,False,490
81,Magnemite,0.3,6.0,25,35,70,95,55,45,Electric,Steel,False,False,Mineral,,Gen-1,190,70,False,20,Electric,False,325
82,Magneton,1.0,60.0,50,60,95,120,70,70,Electric,Steel,False,False,Mineral,,Gen-1,60,70,False,20,Electric,False,465
83,Farfetchd,0.8,15.0,52,90,55,58,62,60,Normal,Flying,False,False,Flying,Ground,Gen-1,45,70,False,20,,False,377
84,Doduo,1.4,39.2,35,85,45,35,35,75,Normal,Flying,False,False,Flying,,Gen-1,190,70,False,20,,False,310
85,Dodrio,1.8,85.2,60,110,70,60,60,110,Normal,Flying,False,False,Flying,,Gen-1,45,70,False,20,,False,470
86,Seel,1.1,90.0,65,45,55,45,70,45,Water,,False,False,Water1,Ground,Gen-1,190,70,False,20,,False,325
87,Dewgong,1.7,120.0,90,70,80,70,95,70,Water,Ice,False,False,Water1,Ground,Gen-1,75,70,False,20,,False,475
88,Grimer,0.9,30.0,80,80,50,40,50,25,Poison,,False,False,Indeterminate,,Gen-1,190,70,False,20,,False,325
89,Muk,1.2,30.0,105,105,75,65,100,50,Poison,,False,False,Indeterminate,,Gen-1,75,70,False,20,,False,500
90,Shellder,0.3,4.0,30,65,100,45,25,40,Water,,False,False,Water3,,Gen-1,190,70,False,20,,False,305
91,Cloyster,1.5,132.5,50,95,180,85,45,70,Water,Ice,False,False,Water3,,Gen-1,60,70,False,20,,False,525
92,Gastly,1.3,0.1,30,35,30,100,35,80,Ghost,Poison,False,False,Indeterminate,,Gen-1,190,70,False,20,,False,310
93,Haunter,1.6,0.1,45,50,45,115,55,95,Ghost,Poison,False,False,Indeterminate,,Gen-1,90,70,False,20,,False,405
94,Gengar,1.5,40.5,60,65,60,130,75,110,Ghost,Poison,False,False,Indeterminate,,Gen-1,45,70,False,20,,False,500
95,Onix,8.8,210.0,35,45,160,30,45,70,Rock,Ground,False,False,Mineral,,Gen-1,45,70,False,25,,False,385
96,Drowzee,1.0,32.4,60,48,45,43,90,42,Psychic,,False,False,Humanshape,,Gen-1,190,70,False,20,,False,328
97,Hypno,1.6,75.6,85,73,70,73,115,67,Psychic,,False,False,Humanshape,,Gen-1,75,70,False,20,,False,483
98,Krabby,0.4,6.5,30,105,90,25,25,50,Water,,False,False,Water3,,Gen-1,225,70,False,20,,False,325
99,Kingler,1.3,60.0,55,130,115,50,50,75,Water,,False,False,Water3,,Gen-1,60,70,False,20,,False,475
100,Voltorb,0.5,10.4,40,30,50,55,55,100,Electric,,False,False,Mineral,,Gen-1,190,70,False,20,,False,330
101,Electrode,1.2,66.6,60,50,70,80,80,150,Electric,,False,False,Mineral,,Gen-1,60,70,False,20,,False,490
102,Exeggcute,0.4,2.5,60,40,80,60,45,40,Grass,Psychic,False,False,Plant,,Gen-1,90,70,False,20,,False,325
103,Exeggutor,2.0,120.0,95,95,85,125,75,55,Grass,Psychic,False,False,Plant,,Gen-1,45,70,False,20,,False,530
104,Cubone,0.4,6.5,50,50,95,40,50,35,Ground,,False,False,Monster,,Gen-1,190,70,False,20,,False,320
105,Marowak,1.0,45.0,60,80,110,50,80,45,Ground,,False,False,Monster,,Gen-1,75,70,False,20,,False,425
106,Hitmonlee,1.5,49.8,50,120,53,35,110,87,Fighting,,False,False,Humanshape,,Gen-1,45,70,False,25,,False,455
107,Hitmonchan,1.4,50.2,50,105,79,35,110,76,Fighting,,False,False,Humanshape,,Gen-1,45,70,False,25,,False,455
108,Lickitung,1.2,65.5,90,55,75,60,75,30,Normal,,False,False,Monster,,Gen-1,45,70,False,20,,False,385
109,Koffing,0.6,1.0,40,65,95,60,45,35,Poison,,False,False,Indeterminate,,Gen-1,190,70,False,20,,False,340
110,Weezing,1.2,9.5,65,90,120,85,70,60,Poison,,False,False,Indeterminate,,Gen-1,60,70,False,20,,False,490
111,Rhyhorn,1.0,115.0,80,85,95,30,30,25,Ground,Rock,False,False,Monster,Ground,Gen-1,120,70,False,20,,False,345
112,Rhydon,1.9,120.0,105,130,120,45,45,40,Ground,Rock,False,False,Monster,Ground,Gen-1,60,70,False,20,,False,485
113,Chansey,1.1,34.6,250,5,5,35,105,50,Normal,,False,False,Fairy,,Gen-1,30,140,False,40,,False,450
114,Tangela,1.0,35.0,65,55,115,100,40,60,Grass,,False,False,Plant,,Gen-1,45,70,False,20,,False,435
115,Kangaskhan,2.2,80.0,105,95,80,40,80,90,Normal,,False,False,Monster,,Gen-1,45,70,False,20,,False,490
116,Horsea,0.4,8.0,30,40,70,70,25,60,Water,,False,False,Water1,Dragon,Gen-1,225,70,False,20,,False,295
117,Seadra,1.2,25.0,55,65,95,95,45,85,Water,,False,False,Water1,Dragon,Gen-1,75,70,False,20,,False,440
118,Goldeen,0.6,15.0,45,67,60,35,50,63,Water,,False,False,Water2,,Gen-1,225,70,False,20,,False,320
119,Seaking,1.3,39.0,80,92,65,65,80,68,Water,,False,False,Water2,,Gen-1,60,70,False,20,,False,450
120,Staryu,0.8,34.5,30,45,55,70,55,85,Water,,False,False,Water3,,Gen-1,225,70,False,20,,False,340
121,Starmie,1.1,80.0,60,75,85,100,85,115,Water,Psychic,False,False,Water3,,Gen-1,60,70,False,20,,False,520
122,Mr-mime,1.3,54.5,40,45,65,100,120,90,Psychic,Fairy,False,False,Humanshape,,Gen-1,45,70,False,25,Psychic,False,460
123,Scyther,1.5,56.0,70,110,80,55,80,105,Bug,Flying,False,False,Bug,,Gen-1,45,70,False,25,,False,500
124,Jynx,1.4,40.6,65,50,35,115,95,95,Ice,Psychic,False,False,Humanshape,,Gen-1,45,70,False,25,,False,455
125,Electabuzz,1.1,30.0,65,83,57,95,85,105,Electric,,False,False,Humanshape,,Gen-1,45,70,False,25,,False,490
126,Magmar,1.3,44.5,65,95,57,100,85,93,Fire,,False,False,Humanshape,,Gen-1,45,70,False,25,,False,495
127,Pinsir,1.5,55.0,65,125,100,55,70,85,Bug,,False,False,Bug,,Gen-1,45,70,False,25,,False,500
128,Tauros,1.4,88.4,75,100,95,40,70,110,Normal,,False,False,Ground,,Gen-1,45,70,False,20,,False,490
129,Magikarp,0.9,10.0,20,10,55,15,20,80,Water,,False,False,Water2,Dragon,Gen-1,255,70,False,5,,False,200
130,Gyarados,6.5,235.0,95,125,79,60,100,81,Water,Flying,False,False,Water2,Dragon,Gen-1,45,70,False,5,,False,540
131,Lapras,2.5,220.0,130,85,80,85,95,60,Water,Ice,False,False,Monster,Water1,Gen-1,45,70,False,40,,False,535
132,Ditto,0.3,4.0,48,48,48,48,48,48,Normal,,False,False,Ditto,,Gen-1,35,70,False,20,,False,288
133,Eevee,0.3,6.5,55,55,50,45,65,55,Normal,,False,False,Ground,,Gen-1,45,70,False,35,,False,325
134,Vaporeon,1.0,29.0,130,65,60,110,95,65,Water,,False,False,Ground,,Gen-1,45,70,False,35,,False,525
135,Jolteon,0.8,24.5,65,65,60,110,95,130,Electric,,False,False,Ground,,Gen-1,45,70,False,35,,False,525
136,Flareon,0.9,25.0,65,130,60,95,110,65,Fire,,False,False,Ground,,Gen-1,45,70,False,35,,False,525
137,Porygon,0.8,36.5,65,60,70,85,75,40,Normal,,False,False,Mineral,,Gen-1,45,70,False,20,,False,395
138,Omanyte,0.4,7.5,35,40,100,90,55,35,Rock,Water,False,False,Water1,Water3,Gen-1,45,70,False,30,,False,355
139,Omastar,1.0,35.0,70,60,125,115,70,55,Rock,Water,False,False,Water1,Water3,Gen-1,45,70,False,30,,False,495
140,Kabuto,0.5,11.5,30,80,90,55,45,55,Rock,Water,False,False,Water1,Water3,Gen-1,45,70,False,30,,False,355
141,Kabutops,1.3,40.5,60,115,105,65,70,80,Rock,Water,False,False,Water1,Water3,Gen-1,45,70,False,30,,False,495
142,Aerodactyl,1.8,59.0,80,105,65,60,75,130,Rock,Flying,False,False,Flying,,Gen-1,45,70,False,35,,False,515
143,Snorlax,2.1,460.0,160,110,65,65,110,30,Normal,,False,False,Monster,,Gen-1,25,70,False,40,,False,540
144,Articuno,1.7,55.4,90,85,100,95,125,85,Ice,Flying,True,False,No-eggs,,Gen-1,3,35,False,80,,False,580
145,Zapdos,1.6,52.6,90,90,85,125,90,100,Electric,Flying,True,False,No-eggs,,Gen-1,3,35,False,80,,False,580
146,Moltres,2.0,60.0,90,100,90,125,85,90,Fire,Flying,True,False,No-eggs,,Gen-1,3,35,False,80,,False,580
147,Dratini,1.8,3.3,41,64,45,50,50,50,Dragon,,False,False,Water1,Dragon,Gen-1,45,35,False,40,,False,300
148,Dragonair,4.0,16.5,61,84,65,70,70,70,Dragon,,False,False,Water1,Dragon,Gen-1,45,35,False,40,,False,420
149,Dragonite,2.2,210.0,91,134,95,100,100,80,Dragon,Flying,False,False,Water1,Dragon,Gen-1,45,35,False,40,,True,600
150,Mewtwo,2.0,122.0,106,110,90,154,90,130,Psychic,,True,False,No-eggs,,Gen-1,3,0,False,120,,False,680
151,Mew,0.4,4.0,100,100,100,100,100,100,Psychic,,False,True,No-eggs,,Gen-1,45,100,False,120,,True,600
152,Chikorita,0.9,6.4,45,49,65,49,65,45,Grass,,False,False,Monster,Plant,Gen-2,45,70,False,20,,False,318
153,Bayleef,1.2,15.8,60,62,80,63,80,60,Grass,,False,False,Monster,Plant,Gen-2,45,70,False,20,,False,405
154,Meganium,1.8,100.5,80,82,100,83,100,80,Grass,,False,False,Monster,Plant,Gen-2,45,70,False,20,,False,525
155,Cyndaquil,0.5,7.9,39,52,43,60,50,65,Fire,,False,False,Ground,,Gen-2,45,70,False,20,,False,309
156,Quilava,0.9,19.0,58,64,58,80,65,80,Fire,,False,False,Ground,,Gen-2,45,70,False,20,,False,405
157,Typhlosion,1.7,79.5,78,84,78,109,85,100,Fire,,False,False,Ground,,Gen-2,45,70,False,20,,False,534
158,Totodile,0.6,9.5,50,65,64,44,48,43,Water,,False,False,Monster,Water1,Gen-2,45,70,False,20,,False,314
159,Croconaw,1.1,25.0,65,80,80,59,63,58,Water,,False,False,Monster,Water1,Gen-2,45,70,False,20,,False,405
160,Feraligatr,2.3,88.8,85,105,100,79,83,78,Water,,False,False,Monster,Water1,Gen-2,45,70,False,20,,False,530
161,Sentret,0.8,6.0,35,46,34,35,45,20,Normal,,False,False,Ground,,Gen-2,255,70,False,15,,False,215
162,Furret,1.8,32.5,85,76,64,45,55,90,Normal,,False,False,Ground,,Gen-2,90,70,False,15,,False,415
163,Hoothoot,0.7,21.2,60,30,30,36,56,50,Normal,Flying,False,False,Flying,,Gen-2,255,70,False,15,,False,262
164,Noctowl,1.6,40.8,100,50,50,86,96,70,Normal,Flying,False,False,Flying,,Gen-2,90,70,False,15,,False,452
165,Ledyba,1.0,10.8,40,20,30,40,80,55,Bug,Flying,False,False,Bug,,Gen-2,255,70,False,15,,False,265
166,Ledian,1.4,35.6,55,35,50,55,110,85,Bug,Flying,False,False,Bug,,Gen-2,90,70,False,15,,False,390
167,Spinarak,0.5,8.5,40,60,40,40,40,30,Bug,Poison,False,False,Bug,,Gen-2,255,70,False,15,,False,250
168,Ariados,1.1,33.5,70,90,70,60,70,40,Bug,Poison,False,False,Bug,,Gen-2,90,70,False,15,,False,400
169,Crobat,1.8,75.0,85,90,80,70,80,130,Poison,Flying,False,False,Flying,,Gen-2,90,70,False,15,,False,535
170,Chinchou,0.5,12.0,75,38,38,56,56,67,Water,Electric,False,False,Water2,,Gen-2,190,70,False,20,,False,330
171,Lanturn,1.2,22.5,125,58,58,76,76,67,Water,Electric,False,False,Water2,,Gen-2,75,70,False,20,,False,460
172,Pichu,0.3,2.0,20,40,15,35,35,60,Electric,,False,False,No-eggs,,Gen-2,190,70,True,10,,False,205
173,Cleffa,0.3,3.0,50,25,28,45,55,15,Fairy,,False,False,No-eggs,,Gen-2,150,140,True,10,Normal,False,218
174,Igglybuff,0.3,1.0,90,30,15,40,20,15,Normal,Fairy,False,False,No-eggs,,Gen-2,170,70,True,10,Normal,False,210
175,Togepi,0.3,1.5,35,20,65,40,65,20,Fairy,,False,False,No-eggs,,Gen-2,190,70,True,10,Normal,False,245
176,Togetic,0.6,3.2,55,40,85,80,105,40,Fairy,Flying,False,False,Flying,Fairy,Gen-2,75,70,False,10,Normal,False,405
177,Natu,0.2,2.0,40,50,45,70,45,70,Psychic,Flying,False,False,Flying,,Gen-2,190,70,False,20,,False,320
178,Xatu,1.5,15.0,65,75,70,95,70,95,Psychic,Flying,False,False,Flying,,Gen-2,75,70,False,20,,False,470
179,Mareep,0.6,7.8,55,40,40,65,45,35,Electric,,False,False,Monster,Ground,Gen-2,235,70,False,20,,False,280
180,Flaaffy,0.8,13.3,70,55,55,80,60,45,Electric,,False,False,Monster,Ground,Gen-2,120,70,False,20,,False,365
181,Ampharos,1.4,61.5,90,75,85,115,90,55,Electric,,False,False,Monster,Ground,Gen-2,45,70,False,20,,False,510
182,Bellossom,0.4,5.8,75,80,95,90,100,50,Grass,,False,False,Plant,,Gen-2,45,70,False,20,,False,490
183,Marill,0.4,8.5,70,20,50,20,50,40,Water,Fairy,False,False,Water1,Fairy,Gen-2,190,70,False,10,Water,False,250
184,Azumarill,0.8,28.5,100,50,80,60,80,50,Water,Fairy,False,False,Water1,Fairy,Gen-2,75,70,False,10,Water,False,420
185,Sudowoodo,1.2,38.0,70,100,115,30,65,30,Rock,,False,False,Mineral,,Gen-2,65,70,False,20,,False,410
186,Politoed,1.1,33.9,90,75,75,90,100,70,Water,,False,False,Water1,,Gen-2,45,70,False,20,,False,500
187,Hoppip,0.4,0.5,35,35,40,35,55,50,Grass,Flying,False,False,Fairy,Plant,Gen-2,255,70,False,20,,False,250
188,Skiploom,0.6,1.0,55,45,50,45,65,80,Grass,Flying,False,False,Fairy,Plant,Gen-2,120,70,False,20,,False,340
189,Jumpluff,0.8,3.0,75,55,70,55,95,110,Grass,Flying,False,False,Fairy,Plant,Gen-2,45,70,False,20,,False,460
190,Aipom,0.8,11.5,55,70,55,40,55,85,Normal,,False,False,Ground,,Gen-2,45,70,False,20,,False,360
191,Sunkern,0.3,1.8,30,30,30,30,30,30,Grass,,False,False,Plant,,Gen-2,235,70,False,20,,False,180
192,Sunflora,0.8,8.5,75,75,55,105,85,30,Grass,,False,False,Plant,,Gen-2,120,70,False,20,,False,425
193,Yanma,1.2,38.0,65,65,45,75,45,95,Bug,Flying,False,False,Bug,,Gen-2,75,70,False,20,,False,390
194,Wooper,0.4,8.5,55,45,45,25,25,15,Water,Ground,False,False,Water1,Ground,Gen-2,255,70,False,20,,False,210
195,Quagsire,1.4,75.0,95,85,85,65,65,35,Water,Ground,False,False,Water1,Ground,Gen-2,90,70,False,20,,False,430
196,Espeon,0.9,26.5,65,65,60,130,95,110,Psychic,,False,False,Ground,,Gen-2,45,70,False,35,,False,525
197,Umbreon,1.0,27.0,95,65,110,60,130,65,Dark,,False,False,Ground,,Gen-2,45,35,False,35,,False,525
198,Murkrow,0.5,2.1,60,85,42,85,42,91,Dark,Flying,False,False,Flying,,Gen-2,30,35,False,20,,False,405
199,Slowking,2.0,79.5,95,75,80,100,110,30,Water,Psychic,False,False,Monster,Water1,Gen-2,70,70,False,20,,False,490
200,Misdreavus,0.7,1.0,60,60,60,85,85,85,Ghost,,False,False,Indeterminate,,Gen-2,45,35,False,25,,False,435
201,Unown,0.5,5.0,48,72,48,72,48,48,Psychic,,False,False,No-eggs,,Gen-2,225,70,False,40,,False,336
202,Wobbuffet,1.3,28.5,190,33,58,33,58,33,Psychic,,False,False,Indeterminate,,Gen-2,45,70,False,20,,False,405
203,Girafarig,1.5,41.5,70,80,65,90,65,85,Normal,Psychic,False,False,Ground,,Gen-2,60,70,False,20,,False,455
204,Pineco,0.6,7.2,50,65,90,35,35,15,Bug,,False,False,Bug,,Gen-2,190,70,False,20,,False,290
205,Forretress,1.2,125.8,75,90,140,60,60,40,Bug,Steel,False,False,Bug,,Gen-2,75,70,False,20,,False,465
206,Dunsparce,1.5,14.0,100,70,70,65,65,45,Normal,,False,False,Ground,,Gen-2,190,70,False,20,,False,415
207,Gligar,1.1,64.8,65,75,105,35,65,85,Ground,Flying,False,False,Bug,,Gen-2,60,70,False,20,,False,430
208,Steelix,9.2,400.0,75,85,200,55,65,30,Steel,Ground,False,False,Mineral,,Gen-2,25,70,False,25,,False,510
209,Snubbull,0.6,7.8,60,80,50,40,40,30,Fairy,,False,False,Ground,Fairy,Gen-2,190,70,False,20,Normal,False,300
210,Granbull,1.4,48.7,90,120,75,60,60,45,Fairy,,False,False,Ground,Fairy,Gen-2,75,70,False,20,Normal,False,450
211,Qwilfish,0.5,3.9,65,95,85,55,55,85,Water,Poison,False,False,Water2,,Gen-2,45,70,False,20,,False,440
212,Scizor,1.8,118.0,70,130,100,55,80,65,Bug,Steel,False,False,Bug,,Gen-2,25,70,False,25,,False,500
213,Shuckle,0.6,20.5,20,10,230,10,230,5,Bug,Rock,False,False,Bug,,Gen-2,190,70,False,20,,False,505
214,Heracross,1.5,54.0,80,125,75,40,95,85,Bug,Fighting,False,False,Bug,,Gen-2,45,70,False,25,,False,500
